imdb_ID,title,year,duration,total_votes,budget,USA_gross_income,worldwide_gross_income,tomatometer_status,audience_rating
tt0270288,Confessions of a Dangerous Mind,2002,113,82127,30000000.0,16007718.0,33013805.0,Certified-Fresh,75.0
tt1093908,Confessions of a Shopaholic,2009,104,73560,17000000.0,44277350.0,108394089.0,Rotten,49.0
tt0361467,Confessions of a Teenage Drama Queen,2004,89,27096,15000000.0,29331068.0,33251890.0,Rotten,35.0
tt0427089,Confetti,2006,100,4914,17000000.0,228498.0,4903131.0,Rotten,48.0
tt0310910,Confidence,2003,97,33007,15000000.0,12251640.0,23014206.0,Fresh,70.0
tt0112715,Congo,1995,109,41486,50000000.0,81022101.0,152022101.0,Rotten,29.0
tt0118883,Conspiracy Theory,1997,135,92187,75000000.0,75982834.0,136982834.0,Rotten,64.0
tt0387131,The Constant Gardener,2005,129,130476,25000000.0,33579797.0,82466670.0,Certified-Fresh,82.0
tt0360486,Constantine,2005,121,299527,100000000.0,75976178.0,230884728.0,Rotten,72.0
tt0272557,Contagion,2002,95,668,17000000.0,9051951.0,10371451.0,Certified-Fresh,63.0
tt1524137,Contraband,2012,109,115327,25000000.0,66528000.0,96262212.0,Rotten,57.0
tt0421082,Control,2007,122,60690,5355000.0,872252.0,8159508.0,Certified-Fresh,89.0
tt0455929,Conventioneers,2005,95,182,17000000.0,9051951.0,10371451.0,Fresh,59.0
tt1244754,Conviction,2010,107,41641,12500000.0,6783129.0,11104555.0,Fresh,70.0
tt0493407,Cook Off!,2007,98,833,17000000.0,9051951.0,10371451.0,Rotten,64.0
tt0126250,Cookie's Fortune,1999,118,12598,10000000.0,10920544.0,10920544.0,Certified-Fresh,65.0
tt0380277,The Cookout,2004,97,2738,17000000.0,11814019.0,12009070.0,Rotten,37.0
tt0318374,The Cooler,2003,101,32101,3200000.0,8291572.0,10464788.0,Certified-Fresh,69.0
tt0118887,Cop Land,1997,105,84547,15000000.0,44862187.0,44862187.0,Certified-Fresh,67.0
tt1385867,Cop Out,2010,107,84584,30000000.0,44875481.0,55611001.0,Rotten,40.0
tt0327597,Coraline,2009,100,190867,60000000.0,75286229.0,124596837.0,Certified-Fresh,73.0
tt0298814,The Core,2003,135,91958,60000000.0,31186896.0,73498611.0,Rotten,34.0
tt1372686,Coriolanus,2011,123,30657,17000000.0,757195.0,2435325.0,Certified-Fresh,58.0
tt0250310,Corky Romano,2001,86,12398,11000000.0,23980304.0,25272752.0,Rotten,39.0
tt0109484,"Corrina, Corrina",1994,115,12111,17000000.0,20164171.0,20164171.0,Rotten,69.0
tt0142192,The Corruptor,1999,110,17250,25000000.0,15164492.0,24493601.0,Rotten,43.0
tt1480656,Cosmopolis,2012,109,43949,20500000.0,763556.0,7029095.0,Fresh,31.0
tt1445729,Cost of a Soul,2010,107,174,17000000.0,9051951.0,10371451.0,Rotten,48.0
tt0276033,The Country Bears,2002,88,4996,35000000.0,16990825.0,18012097.0,Rotten,33.0
tt1555064,Country Strong,2010,117,17056,15000000.0,20218921.0,20529194.0,Rotten,53.0
tt1078940,Couples Retreat,2009,113,100007,70000000.0,109204945.0,171844840.0,Rotten,39.0
tt0115956,Courage Under Fire,1996,116,49330,46000000.0,59031057.0,100860818.0,Certified-Fresh,66.0
tt1630036,Courageous,2011,129,18794,2000000.0,34522221.0,35185884.0,Rotten,86.0
tt0475944,The Covenant,2006,97,46158,20000000.0,23380495.0,37598767.0,Rotten,62.0
tt0765460,Cover,2007,98,543,3600000.0,79436.0,79436.0,Rotten,78.0
tt0323808,The Wicker Tree,2011,96,2465,7750000.0,9051951.0,10371451.0,Rotten,10.0
tt0409847,Cowboys & Aliens,2011,119,204846,163000000.0,100240551.0,174822325.0,Rotten,43.0
